4 0 76 3 6 7 2 189 11 76 1021
3 0 61 2 4 4 4 185 19 34 1024
4 0 69 3 3 3 3 200 10 81 1025
1 0 89 1 3 3 1 179 13 58 1020
4 1 61 4 6 6 2 195 12 71 1022
3 0 19 1 6 7 1 172 15 55 1025
7 0 31 1 10 11 1 180 17 48 1018
3 0 97 1 8 8 1 180 19 37 1024
1 0 100 1 8 9 1 169 11 82 1025
4 1 100 1 6 6 1 174 18 42 1025
2 0 79 1 7 7 1 167 16 55 1024
3 0 52 1 11 12 1 167 10 71 1025
2 0 49 1 6 7 1 162 19 37 1024
4 0 59 3 7 7 3 179 20 37 1024
2 0 52 1 4 4 1 182 13 67 1023
0 0 69 1 3 3 0 164 13 67 1022
1 0 69 1 2 4 1 169 18 59 1026
3 0 56 1 5 8 3 175 11 87 1026
3 0 29 1 3 4 2 164 17 45 1019
5 0 49 4 5 8 4 185 11 82 1026
2 0 109 3 5 6 1 162 12 71 1025
1 0 106 1 4 4 1 155 14 72 1026
1 0 90 2 6 7 2 159 21 40 1027
1 0 54 1 5 6 2 162 23 35 1026
1 0 51 1 1 2 2 170 22 40 1025
3 0 82 3 2 4 2 167 11 87 1026
2 0 79 2 4 5 1 177 12 76 1023
1 0 79 1 3 4 1 175 21 40 1026
3 0 71 1 3 3 1 170 21 37 1026
2 0 61 1 2 2 1 162 12 71 1021
2 0 57 1 4 6 1 152 21 35 1026
2 0 61 1 3 4 2 159 22 40 1025
1 0 81 1 3 3 1 152 20 32 1024
1 0 86 1 5 5 1 162 17 51 1025
2 0 81 2 8 9 3 172 19 37 1024
3 0 35 1 7 8 1 164 15 51 1019
4 0 30 1 9 10 2 184 14 62 1024
2 0 87 1 4 4 2 172 22 35 1025
2 0 57 1 2 2 1 162 20 34 1024
3 0 52 1 5 5 1 160 22 37 1025
2 0 18 1 2 2 1 144 9 81 1025
3 0 6 1 3 3 2 144 15 67 1026
2 0 15 0 4 4 1 155 11 71 1021
11 0 34 5 8 9 3 227 21 37 1026
2 0 100 1 10 11 2 174 13 67 1022
5 1 57 2 7 8 1 189 19 37 1024
2 0 57 1 6 6 1 179 18 52 1025
2 0 44 1 10 10 1 197 19 39 1025
4 0 7 1 4 5 3 139 21 40 1025
2 0 49 1 4 4 2 155 15 67 1026
3 0 64 2 12 12 2 182 11 82 1025
1 0 97 1 14 14 1 175 10 87 1026
1 0 59 2 6 6 1 179 10 87 1026
3 0 59 2 3 3 4 187 11 76 1025
3 0 54 2 3 3 4 185 9 93 1026
1 0 90 1 3 3 1 180 9 93 1026
3 1 69 4 6 7 2 194 8 93 1026
4 1 22 3 6 7 1 180 7 100 1026
4 0 42 1 9 10 1 180 9 100 1026
5 0 42 2 8 9 3 180 12 94 1025
2 0 99 1 9 10 1 170 15 72 1025
6 1 100 1 5 5 1 179 17 67 1026
1 0 82 1 6 6 1 164 19 59 1026
3 0 51 2 11 12 1 174 21 49 1026
2 0 45 1 6 7 1 160 22 33 1025
5 0 49 2 7 8 2 177 22 40 1025
2 0 49 1 3 3 1 184 23 38 1025
0 0 70 1 2 3 0 167 24 33 1024
1 0 72 1 2 4 1 167 23 33 1024
3 0 62 1 6 8 3 175 23 38 1024
3 0 26 1 3 5 2 160 20 52 1023
5 0 43 4 5 8 3 185 22 40 1023
3 0 104 3 6 6 2 165 18 63 1023
1 0 102 1 4 4 1 155 14 88 1022
1 0 97 1 7 7 2 157 16 77 1023
2 0 54 1 5 5 2 162 15 77 1023
1 0 49 1 2 2 2 169 23 38 1023
3 0 78 3 3 4 3 169 13 100 1023
4 0 72 2 5 5 2 182 13 100 1022
1 0 80 1 3 4 1 172 17 67 1023
2 0 71 1 3 3 1 169 19 59 1023
2 0 58 1 2 2 1 164 15 77 1023
2 0 52 0 4 5 1 150 13 100 1022
2 0 56 1 3 4 2 159 13 100 1022
1 0 77 1 3 3 1 150 15 94 1022
1 0 93 1 4 4 1 159 16 82 1022
1 0 90 2 9 10 2 165 16 82 1022
4 0 32 3 7 7 2 169 17 77 1021
3 0 54 1 6 7 2 184 18 68 1021
2 0 82 1 5 6 3 175 21 49 1020
2 0 51 1 2 2 1 162 22 43 1020
3 0 52 1 5 5 1 160 21 52 1020
1 0 29 1 2 2 1 147 20 56 1020
3 1 4 2 3 4 2 149 21 52 1020
2 0 19 0 4 5 1 157 22 49 1019
7 0 35 3 7 8 2 202 22 46 1019
2 0 89 1 10 10 2 175 20 56 1019
6 1 66 2 8 8 1 192 18 63 1019
1 0 62 1 6 6 1 177 16 72 1019
3 0 35 1 10 10 1 204 14 88 1020
3 0 5 1 4 5 3 134 13 88 1020
2 0 47 1 3 4 2 154 13 82 1020
4 0 58 2 12 13 2 182 12 87 1020
1 0 104 2 14 15 1 177 10 100 1020
1 0 70 2 6 7 1 179 9 100 1019
3 1 58 3 3 4 3 189 8 100 1020
4 0 61 3 3 4 3 202 9 100 1020
2 0 89 2 3 4 1 182 14 77 1020
1 0 79 2 4 5 1 179 16 72 1020
5 2 27 4 7 8 2 194 18 63 1020
7 0 30 1 10 11 1 179 20 60 1020
5 0 34 1 9 9 2 175 21 49 1020
3 0 94 2 11 12 2 174 21 49 1019
3 0 103 1 4 5 1 174 22 46 1019
1 0 94 1 5 5 1 165 22 46 1019
3 1 60 2 11 12 2 177 23 43 1019
2 0 44 1 6 7 1 159 22 49 1019
5 0 36 1 8 9 2 172 24 41 1018
3 0 49 1 3 3 1 185 23 46 1018
0 0 71 1 2 3 0 167 22 49 1018
1 0 73 1 2 3 1 165 22 53 1018
2 0 68 2 5 8 3 174 20 52 1018
3 0 24 1 3 5 3 160 16 63 1019
5 0 36 2 6 8 2 179 10 93 1019
3 0 100 4 6 7 2 167 15 63 1020
1 0 96 1 4 5 1 157 9 93 1019
1 0 112 1 6 6 1 155 16 59 1019
2 0 59 2 5 6 2 162 12 76 1019
1 0 44 1 2 2 1 169 9 100 1019
3 0 73 3 3 4 3 169 8 100 1019
4 0 63 3 6 6 2 184 17 59 1019
1 0 81 1 3 4 1 169 13 82 1019
2 0 69 1 2 3 1 172 9 93 1019
3 0 57 1 2 2 1 162 19 45 1019
2 0 48 0 4 5 1 149 22 40 1019
3 0 45 1 3 4 2 157 21 40 1019
1 0 74 1 3 4 1 150 23 40 1019
1 0 94 1 3 3 1 155 23 40 1019
1 0 89 1 6 6 2 160 24 35 1018
5 1 36 4 7 7 3 174 24 35 1018
2 0 57 1 6 6 2 185 24 33 1018
3 0 80 2 5 6 3 177 24 35 1018
2 0 46 1 2 2 1 162 24 33 1017
3 0 52 1 5 5 1 160 22 46 1017
1 0 37 0 1 1 1 150 23 40 1017
4 2 4 2 4 4 2 157 19 55 1018
2 0 24 0 5 6 1 159 17 59 1018
4 0 52 1 7 7 2 177 15 72 1018
2 0 82 1 10 10 2 175 15 77 1018
3 0 64 1 8 8 1 184 14 88 1018
1 0 70 1 6 6 1 175 12 94 1018
3 0 32 1 9 9 1 212 11 100 1018
3 0 4 1 4 5 3 132 13 94 1018
